period,portfolio_return,cumulative_net_return,drawdown
2022-02-04,-0.1846152,-0.1846152,0.0
2022-02-07,-0.006137,-0.1907522,-0.006137
2022-02-08,-0.0438462,-0.2345984,-0.0499832
2022-02-09,0.0135422,-0.2210562,-0.036441
2022-02-10,0.0216724,-0.1993838,-0.0147686
2022-02-14,-0.016025,-0.2154088,-0.0307936
2022-02-16,-0.0471238,-0.2625326,-0.0779174
2022-02-17,0.017523,-0.2450096,-0.0603944
2022-02-22,-0.0499254,-0.294935,-0.1103198
2022-02-25,-0.0045728,-0.2995078,-0.1148926
2022-02-28,0.0428302,-0.2566776,-0.0720624
2022-03-15,-0.0431914,-0.299869,-0.1152538
2022-03-22,-0.036391,-0.33626,-0.1516448
2022-03-23,-0.0311314,-0.3673914,-0.1827762
2022-03-24,0.0370092,-0.3303822,-0.145767
2022-03-31,0.0325532,-0.297829,-0.1132138
2022-04-01,0.0571032,-0.2407258,-0.0561106
2022-04-04,0.0257282,-0.2149976,-0.0303824
2022-04-05,0.0226122,-0.1923854,-0.0077702
2022-04-06,0.0397042,-0.1526812,0.0
2022-04-12,0.0564974,-0.0961838,0.0
2022-04-13,-0.008501,-0.1046848,-0.008501
2022-04-14,-0.0634554,-0.1681402,-0.0719564
2022-04-19,-0.0714916,-0.2396318,-0.143448
2022-04-20,-0.0820828,-0.3217146,-0.2255308
2022-04-21,-0.1032178,-0.4249324,-0.3287486
2022-04-22,-0.1729972,-0.5979296,-0.5017458
2022-04-25,-0.2652748,-0.8632044,-0.7670206
2022-04-26,-0.0828476,-0.946052,-0.8498682
2022-04-27,-0.0847404,-1.0307924,-0.9346086
2022-05-09,-0.0687332,-1.0995256,-1.0033418
2022-05-10,-0.070851,-1.1703766,-1.0741928
2022-05-12,-0.0661926,-1.2365692,-1.1403854
2022-05-17,-0.0269742,-1.2635434,-1.1673596
2022-05-18,-0.0010256,-1.264569,-1.1683852
2022-05-19,0.0104082,-1.2541608,-1.157977
2022-05-20,-0.0178554,-1.2720162,-1.1758324
2022-05-23,-0.003715,-1.2757312,-1.1795474
2022-05-26,-0.1416498,-1.417381,-1.3211972
2022-05-27,-0.0343626,-1.4517436,-1.3555598
2022-06-06,-0.0461112,-1.4978548,-1.401671
2022-06-07,-0.054803,-1.5526578,-1.456474
2022-06-08,0.1415046,-1.4111532,-1.3149694
2022-06-09,0.204373,-1.2067802,-1.1105964
2022-06-10,0.1997244,-1.0070558,-0.910872
2022-06-13,-0.0160402,-1.023096,-0.9269122
2022-06-21,-0.1165544,-1.1396504,-1.0434666
2022-06-22,-0.0550704,-1.1947208,-1.098537
2022-06-23,-0.0490978,-1.2438186,-1.1476348
2022-06-27,0.0484456,-1.195373,-1.0991892
2022-06-28,0.0899076,-1.1054654,-1.0092816
2022-06-29,0.0798948,-1.0255706,-0.9293868
2022-06-30,0.1092498,-0.9163208,-0.820137
2022-07-01,0.1327932,-0.7835276,-0.6873438
2022-07-05,0.0573914,-0.7261362,-0.6299524
2022-07-07,-0.033813,-0.7599492,-0.6637654
2022-07-08,-0.0306452,-0.7905944,-0.6944106
2022-07-11,-0.0423466,-0.832941,-0.7367572
2022-07-12,-0.0446864,-0.8776274,-0.7814436
2022-07-13,0.1390938,-0.7385336,-0.6423498
2022-07-14,0.1516616,-0.586872,-0.4906882
2022-07-15,0.08548,-0.501392,-0.4052082
2022-07-18,0.050708,-0.450684,-0.3545002
2022-07-19,-0.0009502,-0.4516342,-0.3554504
2022-07-20,-0.0198208,-0.471455,-0.3752712
2022-07-21,-0.0195162,-0.4909712,-0.3947874
2022-07-22,-0.0244314,-0.5154026,-0.4192188
2022-07-25,-0.0314442,-0.5468468,-0.450663
2022-07-28,9.92e-05,-0.5467476,-0.4505638
2022-07-29,0.1005494,-0.4461982,-0.3500144
2022-08-01,-0.0156484,-0.4618466,-0.3656628
2022-08-02,-0.0171224,-0.478969,-0.3827852
2022-08-03,0.0893518,-0.3896172,-0.2934334
2022-08-04,-0.0091526,-0.3987698,-0.302586
2022-08-05,-0.0219416,-0.4207114,-0.3245276
2022-08-08,-0.0124078,-0.4331192,-0.3369354
2022-08-10,0.1762214,-0.2568978,-0.160714
2022-08-11,-0.0620712,-0.318969,-0.2227852
2022-08-12,-0.0225544,-0.3415234,-0.2453396
2022-08-15,-0.0896668,-0.4311902,-0.3350064
2022-08-16,-0.0077638,-0.438954,-0.3427702
2022-08-17,-0.1195484,-0.5585024,-0.4623186
2022-08-18,-0.0607048,-0.6192072,-0.5230234
2022-08-19,-0.0732628,-0.69247,-0.5962862
2022-08-22,-0.0596282,-0.7520982,-0.6559144
2022-08-23,0.1695428,-0.5825554,-0.4863716
2022-08-24,-0.0128218,-0.5953772,-0.4991934
2022-08-25,-0.1391176,-0.7344948,-0.638311
2022-08-26,0.0183964,-0.7160984,-0.6199146
2022-08-29,0.0337108,-0.6823876,-0.5862038
2022-08-30,0.0853576,-0.59703,-0.5008462
2022-08-31,-0.1447754,-0.7418054,-0.6456216
2022-09-01,-0.0615928,-0.8033982,-0.7072144
2022-09-02,-0.2130998,-1.016498,-0.9203142
2022-09-06,-0.244356,-1.260854,-1.1646702
2022-09-07,0.0171884,-1.2436656,-1.1474818
2022-09-08,-0.052283,-1.2959486,-1.1997648
2022-09-09,-0.0745762,-1.3705248,-1.274341
2022-09-12,-0.0554184,-1.4259432,-1.3297594
2022-09-13,-0.0712494,-1.4971926,-1.4010088
2022-09-14,-0.0633442,-1.5605368,-1.464353
2022-09-15,-0.0619612,-1.622498,-1.5263142
2022-09-16,-0.0706748,-1.6931728,-1.596989
2022-09-19,-0.0811822,-1.774355,-1.6781712
2022-09-20,-0.0374736,-1.8118286,-1.7156448
2022-09-21,-0.074818,-1.8866466,-1.7904628
2022-09-22,-0.2341772,-2.1208238,-2.02464
2022-09-23,-0.0962942,-2.217118,-2.1209342
2022-09-26,-0.1316998,-2.3488178,-2.252634
2022-09-27,-0.193702,-2.5425198,-2.446336
2022-09-28,-0.1375128,-2.6800326,-2.5838488
2022-09-29,-0.104044,-2.7840766,-2.6878928
2022-09-30,-0.0822772,-2.8663538,-2.77017
2022-10-18,0.0108904,-2.8554634,-2.7592796
2022-10-19,0.1477464,-2.707717,-2.6115332
2022-10-20,0.359697,-2.34802,-2.2518362
2022-10-25,0.1085354,-2.2394846,-2.1433008
2022-11-08,-0.0181112,-2.2575958,-2.161412
2022-11-09,-0.0297702,-2.287366,-2.1911822
2022-11-10,0.1057894,-2.1815766,-2.0853928
2022-11-15,0.0811156,-2.100461,-2.0042772
2022-11-17,0.366378,-1.734083,-1.6378992
2022-11-18,0.4034044,-1.3306786,-1.2344948
2022-11-21,0.3378948,-0.9927838,-0.8966
2022-11-22,0.4348088,-0.557975,-0.4617912
2022-11-23,0.4255296,-0.1324454,-0.0362616
2022-11-25,0.4242694,0.291824,0.0
2022-11-28,0.3939308,0.6857548,0.0
2022-11-29,0.5223688,1.2081236,0.0
2022-11-30,0.642722,1.8508456,0.0
2022-12-01,0.5423858,2.3932314,0.0
2022-12-02,0.6336248,3.0268562,0.0
2022-12-05,0.4083332,3.4351894,0.0
2022-12-06,0.4809008,3.9160902,0.0
2022-12-07,0.5634864,4.4795766,0.0
2022-12-08,0.604074,5.0836506,0.0
2022-12-09,1.2521052,6.3357558,0.0
2022-12-12,0.6216948,6.9574506,0.0
2022-12-13,0.5402732,7.4977238,0.0
2022-12-14,0.4295838,7.9273076,0.0
2022-12-15,0.2619752,8.1892828,0.0
2022-12-16,0.305957,8.4952398,0.0
2022-12-19,0.2500796,8.7453194,0.0
2022-12-20,0.128672,8.8739914,0.0
2022-12-21,0.3209196,9.194911,0.0
2022-12-22,0.292188,9.487099,0.0
2022-12-23,0.2400272,9.7271262,0.0
2022-12-27,0.166282,9.8934082,0.0
2022-12-28,0.4942856,10.3876938,0.0
2022-12-29,0.5016616,10.8893554,0.0
2022-12-30,0.4040536,11.293409,0.0
2023-01-03,0.3834188,11.6768278,0.0
2023-01-04,0.3050796,11.9819074,0.0
2023-01-05,0.207287,12.1891944,0.0
2023-01-06,0.2877028,12.4768972,0.0
2023-01-09,0.2653192,12.7422164,0.0
2023-01-10,0.2780108,13.0202272,0.0
2023-01-11,0.2122148,13.232442,0.0
2023-01-12,0.279248,13.51169,0.0
2023-01-13,0.26551,13.7772,0.0
2023-01-17,0.1987052,13.9759052,0.0
2023-01-18,0.1166568,14.092562,0.0
2023-01-19,0.1066422,14.1992042,0.0
2023-01-20,0.1486322,14.3478364,0.0
2023-01-23,0.0957024,14.4435388,0.0
2023-01-24,0.1096552,14.553194,0.0
2023-01-25,0.0737636,14.6269576,0.0
2023-01-26,0.0810576,14.7080152,0.0
2023-01-27,0.2276512,14.9356664,0.0
2023-01-30,0.1916002,15.1272666,0.0
2023-01-31,0.1000432,15.2273098,0.0
2023-02-01,0.0505406,15.2778504,0.0
2023-02-02,0.227698,15.5055484,0.0
2023-02-03,0.04673,15.5522784,0.0
2023-02-06,0.0275356,15.579814,0.0
2023-02-07,0.1446532,15.7244672,0.0
2023-02-08,0.1293332,15.8538004,0.0
2023-02-09,0.0200518,15.8738522,0.0
2023-02-10,0.0188748,15.892727,0.0
2023-02-13,-0.0044086,15.8883184,-0.0044086
2023-02-14,-0.0250314,15.863287,-0.02944
2023-02-16,-0.0693328,15.7939542,-0.0987728
2023-02-17,-0.0624652,15.731489,-0.161238
2023-02-21,-0.0583902,15.6730988,-0.2196282
2023-02-22,-0.0217272,15.6513716,-0.2413554
2023-02-23,-0.0208984,15.6304732,-0.2622538
2023-02-24,-0.053349,15.5771242,-0.3156028
2023-02-27,-0.0691752,15.507949,-0.384778
2023-02-28,-0.0586486,15.4493004,-0.4434266
2023-03-01,-0.0298112,15.4194892,-0.4732378
2023-03-02,-0.0346066,15.3848826,-0.5078444
2023-03-03,-0.0238052,15.3610774,-0.5316496
2023-03-06,-0.0355556,15.3255218,-0.5672052
2023-03-07,-0.0240502,15.3014716,-0.5912554
2023-03-08,-0.0204026,15.281069,-0.611658
2023-03-09,-0.0356114,15.2454576,-0.6472694
2023-03-14,-0.0722634,15.1731942,-0.7195328
2023-03-15,-0.0581172,15.115077,-0.77765
2023-03-16,-0.0386682,15.0764088,-0.8163182
2023-03-17,-0.0077528,15.068656,-0.824071
2023-03-23,-0.041282,15.027374,-0.865353
2023-04-04,0.0107254,15.0380994,-0.8546276
2023-04-05,0.0073684,15.0454678,-0.8472592
2023-04-10,-0.0389676,15.0065002,-0.8862268
2023-04-11,0.0064224,15.0129226,-0.8798044
2023-04-12,0.0095652,15.0224878,-0.8702392
2023-04-17,0.0326802,15.055168,-0.837559
2023-05-02,-0.0588338,14.9963342,-0.8963928
2023-05-05,-0.013116,14.9832182,-0.9095088
2023-05-11,-0.008482,14.9747362,-0.9179908
2023-05-15,-0.0160722,14.958664,-0.934063
2023-05-16,-0.0367962,14.9218678,-0.9708592
