period,dcfbeec9cf4c5190,ef3f1ebb21d03d5c,292441755c5ffdcc,7d30471f7325a2a8,f173207ae9bd5ccd,0dc08daefa67c12e
2018-02-13,0.0,0.0,0.0,0.0,0.0,-0.084677
2018-03-02,0.0,0.0,0.0,0.0,0.0,-0.19046600000000002
2018-03-06,0.0,0.0,0.0,0.0,0.0,-0.015602999999999978
2018-03-07,0.0,0.0,0.0,0.0,0.0,0.09972700000000001
2018-03-08,0.0,0.0,0.0,0.0,0.0,-0.05107400000000001
2018-03-12,0.0,0.0,0.0,0.0,0.0,0.20386300000000002
2018-03-13,0.0,0.0,0.0,0.0,0.0,0.017347
2018-04-18,0.0,0.0,0.0,0.0,0.0,-0.08593
2018-04-19,0.0,0.0,0.0,0.0,0.0,-0.050296999999999994
2018-04-25,0.0,0.0,0.0,0.0,0.0,-0.06567500000000001
2018-04-26,0.0,0.0,0.0,0.0,0.0,-0.106933
2018-04-27,0.0,0.0,0.0,0.0,0.0,0.139461
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.103259
2018-05-21,0.0,0.0,0.0,0.0,0.0,0.082211
2018-05-23,0.0,0.0,0.0,0.0,0.0,0.011918
2018-05-25,0.0,0.0,0.0,0.0,0.0,0.188231
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.02742
2018-07-06,0.0,0.0,0.0,0.0,0.0,-0.083177
2018-08-22,0.0,0.0,0.0,0.0,0.0,-0.078931
2018-08-24,0.0,0.0,0.0,0.0,0.0,0.19767800000000002
2018-08-30,0.0,0.0,0.0,0.0,0.0,0.066774
2018-08-31,0.0,0.0,0.0,0.0,0.0,-0.13938600000000004
2018-09-06,0.0,0.0,0.0,0.0,0.0,-0.30982
2018-09-18,0.0,0.0,0.0,0.0,0.0,0.057017
2018-09-25,0.0,0.0,0.0,0.0,0.0,0.308215
2018-09-26,0.0,0.0,0.0,0.0,0.0,0.224347
2018-10-03,0.0,0.0,0.0,0.0,0.0,-0.03681400000000001
2018-10-29,0.0,0.0,0.0,0.0,0.0,0.21468300000000007
2018-10-30,0.0,0.0,0.0,0.0,0.0,0.011795999999999918
2018-11-08,0.0,0.0,0.0,0.0,0.0,-0.33532199999999995
2018-11-09,0.0,0.0,0.0,0.0,0.0,-0.029461000000000015
2018-11-12,0.0,0.0,0.0,0.0,0.0,-0.095835
2018-11-21,0.0,0.0,0.0,0.0,0.0,0.09975899999999999
2018-11-23,0.0,0.0,0.0,0.0,0.0,-0.510402
2018-11-26,0.0,0.0,0.0,0.0,0.0,-0.23755799999999996
2018-11-27,0.0,0.0,0.0,0.0,0.0,-0.08736899999999997
2018-11-28,0.0,0.0,0.0,0.0,0.0,0.04024099999999997
2018-11-29,0.0,0.0,0.0,0.0,0.0,-0.27482800000000007
2018-12-04,0.0,0.0,0.0,0.0,0.0,-0.1983999999999999
2018-12-19,0.0,0.0,0.0,0.0,0.0,-0.20763599999999993
2018-12-20,0.0,0.0,0.0,0.0,0.0,-0.116344
2019-01-04,0.0,0.0,0.0,0.0,0.0,-0.24865000000000004
2019-01-07,0.0,0.0,0.0,0.0,0.0,-0.18476500000000007
2019-01-22,0.0,0.0,0.0,0.0,0.0,0.05754999999999999
2019-01-24,0.0,0.0,0.0,0.0,0.0,0.36360499999999996
2019-01-28,0.0,0.0,0.0,0.0,0.0,0.09325300000000003
2019-02-04,0.0,0.0,0.0,0.0,0.0,0.154374
2019-02-20,0.0,0.0,0.0,0.0,0.0,-0.04900700000000002
2019-02-27,0.0,0.0,0.0,0.0,0.0,0.07607800000000009
2019-03-01,0.0,0.0,0.0,0.0,0.0,-0.015627999999999975
2019-03-04,0.0,0.0,0.0,0.0,0.0,-0.0459210000000001
2019-03-05,0.0,0.0,0.0,0.0,0.0,-0.009292000000000078
2019-04-01,0.0,0.0,0.0,0.0,0.0,-0.06902999999999992
2019-04-17,0.0,0.0,0.0,0.0,0.0,0.007308000000000092
2019-04-22,0.0,0.0,0.0,0.0,0.0,-0.03960200000000014
2019-05-03,0.0,0.0,0.0,0.0,0.0,-0.07756699999999994
2019-05-06,0.0,0.0,0.0,0.0,0.0,-0.0964560000000001
2019-05-24,0.0,0.0,0.0,0.0,0.0,-0.11312699999999998
2019-05-30,0.0,0.0,0.0,0.0,0.0,-0.11468099999999981
2019-05-31,0.0,0.0,0.0,0.0,0.0,-0.21839300000000006
