period,portfolio_return,cumulative_net_return,drawdown
2018-02-13,-0.01317198,-0.01317198,0.0
2018-03-02,-0.02962805,-0.04280002,-0.02962805
2018-03-06,-0.00242713,-0.04522716,-0.03205518
2018-03-07,0.01551309,-0.02971407,-0.01654209
2018-03-08,-0.00794484,-0.03765891,-0.02448693
2018-03-12,0.03171202,-0.00594689,0.0
2018-03-13,0.00269842,-0.00324847,0.0
2018-04-18,-0.01336689,-0.01661536,-0.01336689
2018-04-19,-0.00782398,-0.02443933,-0.02119087
2018-04-25,-0.01021611,-0.03465545,-0.03140698
2018-04-26,-0.01663402,-0.05128947,-0.048041
2018-04-27,0.02169393,-0.02959553,-0.02634707
2018-05-01,0.01606251,-0.01353302,-0.01028456
2018-05-21,0.01278838,-0.00074464,0.0
2018-05-23,0.00185391,0.00110927,0.0
2018-05-25,0.02928038,0.03038965,0.0
2018-06-01,0.00426533,0.03465498,0.0
2018-07-06,-0.01293864,0.02171633,-0.01293864
2018-08-22,-0.01227816,0.00943818,-0.0252168
2018-08-24,0.03074991,0.04018809,0.0
2018-08-30,0.01038707,0.05057516,0.0
2018-08-31,-0.02168227,0.02889289,-0.02168227
2018-09-06,-0.04819422,-0.01930133,-0.06987649
2018-09-18,0.00886931,-0.01043202,-0.06100718
2018-09-25,0.04794456,0.03751253,-0.01306262
2018-09-26,0.03489842,0.07241096,0.0
2018-10-03,-0.00572662,0.06668434,-0.00572662
2018-10-29,0.03339513,0.10007947,0.0
2018-10-30,0.00183493,0.1019144,0.0
2018-11-08,-0.0521612,0.0497532,-0.0521612
2018-11-09,-0.00458282,0.04517038,-0.05674402
2018-11-12,-0.01490767,0.03026271,-0.07165169
2018-11-21,0.01551807,0.04578078,-0.05613362
2018-11-23,-0.07939587,-0.03361509,-0.13552949
2018-11-26,-0.03695347,-0.07056856,-0.17248296
2018-11-27,-0.01359073,-0.08415929,-0.18607369
2018-11-28,0.00625971,-0.07789958,-0.17981398
2018-11-29,-0.04275102,-0.1206506,-0.22256501
2018-12-04,-0.03086222,-0.15151283,-0.25342723
2018-12-19,-0.03229893,-0.18381176,-0.28572616
2018-12-20,-0.01809796,-0.20190972,-0.30382412
2019-01-04,-0.03867889,-0.24058861,-0.34250301
2019-01-07,-0.02874122,-0.26932983,-0.37124423
2019-01-22,0.00895222,-0.26037761,-0.36229201
2019-01-24,0.05656078,-0.20381683,-0.30573123
2019-01-28,0.01450602,-0.18931081,-0.29122521
2019-02-04,0.02401373,-0.16529707,-0.26721147
2019-02-20,-0.00762331,-0.17292038,-0.27483479
2019-02-27,0.01183436,-0.16108603,-0.26300043
2019-03-01,-0.00243102,-0.16351705,-0.26543145
2019-03-04,-0.00714327,-0.17066032,-0.27257472
2019-03-05,-0.00144542,-0.17210574,-0.27402014
2019-04-01,-0.010738,-0.18284374,-0.28475814
2019-04-17,0.0011368,-0.18170694,-0.28362134
2019-04-22,-0.00616031,-0.18786725,-0.28978165
2019-05-03,-0.01206598,-0.19993323,-0.30184763
2019-05-06,-0.01500427,-0.2149375,-0.3168519
2019-05-24,-0.01759753,-0.23253503,-0.33444943
2019-05-30,-0.01783927,-0.2503743,-0.3522887
2019-05-31,-0.03397225,-0.28434654,-0.38626094
2019-06-12,-0.00518607,-0.28953261,-0.39144701
2019-06-26,-0.0031192,-0.29265181,-0.39456621
2019-07-02,0.03916671,-0.2534851,-0.3553995
2019-08-23,-0.01962022,-0.27310532,-0.37501972
2019-08-26,-0.01702696,-0.29013227,-0.39204668
2019-08-29,-0.00266918,-0.29280145,-0.39471586
2019-09-04,0.00156193,-0.29123952,-0.39315392
2019-09-09,-0.02346167,-0.31470119,-0.41661559
2019-09-13,0.00164096,-0.31306023,-0.41497463
2019-09-17,0.01319236,-0.29986788,-0.40178228
2019-09-18,0.000602,-0.29926588,-0.40118028
2019-11-22,0.00953851,-0.28972736,-0.39164177
2019-11-25,-0.00388562,-0.29361299,-0.39552739
2020-01-28,-0.00906967,-0.30268265,-0.40459706
2020-02-12,0.06407256,-0.2386101,-0.3405245
2020-03-02,-0.0174958,-0.2561059,-0.3580203
2020-03-03,-0.0155008,-0.2716067,-0.3735211
2020-03-04,-0.01386047,-0.28546716,-0.38738157
2020-03-05,-0.03627742,-0.32174459,-0.42365899
2020-03-06,-0.01438796,-0.33613254,-0.43804695
2020-03-17,-0.04670556,-0.3828381,-0.4847525
2020-03-24,-0.16465089,-0.54748899,-0.6494034
2020-03-25,-0.07220905,-0.61969804,-0.72161244
2020-03-27,-0.12454323,-0.74424127,-0.84615567
2020-03-30,-0.01035813,-0.7545994,-0.8565138
2020-03-31,-0.11240336,-0.86700276,-0.96891716
2020-04-01,-0.08325847,-0.95026123,-1.05217563
2020-04-02,-0.03812216,-0.98838338,-1.09029779
2020-04-03,-0.03568896,-1.02407234,-1.12598674
2020-04-07,-0.03667549,-1.06074783,-1.16266223
2020-04-08,-0.04800569,-1.10875352,-1.21066792
2020-04-09,-0.00560062,-1.11435414,-1.21626855
2020-04-13,0.18113745,-0.93321669,-1.0351311
2020-04-14,0.04650738,-0.88670931,-0.98862372
2020-04-15,0.29434068,-0.59236864,-0.69428304
2020-04-16,0.14329514,-0.4490735,-0.5509879
2020-04-17,0.18377318,-0.26530032,-0.36721472
2020-04-20,0.10815778,-0.15714254,-0.25905694
2020-04-21,0.0410746,-0.11606794,-0.21798234
2020-04-23,0.12455256,0.00848462,-0.09342978
2020-04-27,0.00761693,0.01610156,-0.08581285
2020-05-06,0.02213898,0.03824053,-0.06367387
2020-05-29,0.01978278,0.05802331,-0.04389109
2020-06-02,0.03710405,0.09512736,-0.00678704
2020-06-16,0.002807,0.09793436,-0.00398004
2020-06-19,-0.00181176,0.0961226,-0.0057918
2020-07-13,0.03122856,0.12735116,0.0
2020-07-28,0.01066178,0.13801294,0.0
2020-08-04,0.00169649,0.13970943,0.0
2020-08-10,-0.02047485,0.11923458,-0.02047485
2020-08-18,-0.0021504,0.11708418,-0.02262525
2020-08-20,0.04503909,0.16212327,0.0
2020-08-21,0.00027113,0.1623944,0.0
2020-08-24,0.02288502,0.18527943,0.0
2020-08-27,0.0079842,0.19326363,0.0
2020-08-31,0.04905647,0.2423201,0.0
2020-09-01,-6.969e-05,0.24225041,-6.969e-05
2020-09-02,0.00169758,0.24394798,0.0
2020-09-04,0.00245467,0.24640265,0.0
2020-09-11,0.02312209,0.26952474,0.0
2020-09-16,0.01830484,0.28782959,0.0
2020-09-22,-0.02348718,0.26434241,-0.02348718
2020-09-25,-0.03290436,0.23143805,-0.05639153
2020-09-30,-0.02941353,0.20202452,-0.08580507
2020-10-05,-0.0867734,0.11525111,-0.17257847
2020-10-07,0.02379533,0.13904645,-0.14878314
2020-11-10,-0.018319,0.12072745,-0.16710214
2020-11-27,0.01170058,0.13242803,-0.15540156
2020-12-01,0.0292292,0.16165723,-0.12617236
2020-12-04,-0.01969582,0.1419614,-0.14586818
2020-12-09,-0.01576618,0.12619523,-0.16163436
2020-12-10,-0.00531409,0.12088114,-0.16694845
2020-12-17,0.06770509,0.18858623,-0.09924336
2020-12-18,0.05882489,0.24741112,-0.04041847
2021-01-15,-0.00867798,0.23873314,-0.04909645
2021-01-21,0.02579313,0.26452627,-0.02330331
2021-02-05,0.00426393,0.26879021,-0.01903938
2021-02-19,0.00949324,0.27828345,-0.00954613
2021-02-26,0.00427451,0.28255796,-0.00527162
2021-03-05,-0.00489238,0.27766559,-0.010164
2021-03-26,-0.02167698,0.25598861,-0.03184098
2021-04-01,-2.411e-05,0.2559645,-0.03186509
2021-04-08,-0.00156489,0.25439961,-0.03342998
2021-05-11,-0.01701093,0.23738867,-0.05044091
2021-05-28,-0.00814598,0.2292427,-0.05858689
2021-06-11,0.00417511,0.23341781,-0.05441178
2021-08-04,-0.02136322,0.21205458,-0.075775
2021-08-23,-0.01048678,0.20156781,-0.08626178
2021-08-26,0.0053914,0.20695921,-0.08087038
2021-08-27,0.00499007,0.21194927,-0.07588031
2021-08-30,-0.00338442,0.20856485,-0.07926474
2021-09-02,-0.02031182,0.18825303,-0.09957656
2021-09-20,0.00255438,0.19080741,-0.09702218
2021-09-21,-0.00456447,0.18624294,-0.10158665
2021-09-22,-0.00789818,0.17834476,-0.10948483
2021-10-21,-0.00838056,0.1699642,-0.11786538
2021-10-27,0.01490004,0.18486425,-0.10296534
2021-11-02,-0.00689562,0.17796863,-0.10986096
2021-11-23,0.00499769,0.18296632,-0.10486327
2021-11-24,0.04229929,0.22526561,-0.06256398
