period,drawdown
2018-02-13,0.0
2018-03-02,-0.00224078
2018-03-05,-0.00115555
2018-03-06,-0.02135635
2018-03-07,-0.00342797
2018-03-08,-0.00342745
2018-03-12,0.0
2018-03-13,0.0
2018-04-02,-0.02578548
2018-04-03,-0.06309972
2018-04-06,-0.0760326
2018-04-09,-0.08304522
2018-04-11,-0.1009768
2018-04-12,-0.10422269
2018-04-18,-0.11554523
2018-04-19,-0.1221726
2018-04-24,-0.13619868
2018-04-25,-0.13697132
2018-04-26,-0.13822936
2018-04-27,-0.11876024
2018-05-01,-0.11754543
2018-05-02,-0.11816621
2018-05-03,-0.11903902
2018-05-14,-0.11714332
2018-05-15,-0.11437348
2018-05-18,-0.10306208
2018-05-21,-0.09978777
2018-05-22,-0.11137317
2018-05-23,-0.09479298
2018-05-25,-0.0925785
2018-06-01,-0.09085373
2018-06-11,-0.08194791
2018-06-12,-0.08313733
2018-06-13,-0.06577097
2018-06-14,-0.00033045
2018-06-15,0.0
2018-06-19,0.0
2018-06-20,0.0
2018-06-22,-0.00160619
2018-06-25,0.0
2018-06-26,-0.00048272
2018-06-27,-0.00212752
2018-06-29,-0.00268348
2018-07-03,-0.00362228
2018-07-05,-0.00259442
2018-07-06,-0.00371337
2018-07-13,-0.00496193
2018-07-17,-0.00229112
2018-07-18,-0.00210083
2018-07-19,-0.00043762
2018-07-20,0.0
2018-07-26,-0.00215283
2018-07-27,-0.00290042
2018-08-01,0.0
2018-08-02,0.0
2018-08-03,0.0
2018-08-06,0.0
2018-08-07,0.0
2018-08-08,0.0
2018-08-09,0.0
2018-08-10,0.0
2018-08-13,0.0
2018-08-22,-0.0009286
2018-08-24,-0.00569906
2018-08-27,-0.00993566
2018-08-28,0.0
2018-08-30,0.0
2018-08-31,-0.00163984
2018-09-04,0.0
2018-09-05,0.0
2018-09-06,-0.00364494
2018-09-10,0.0
2018-09-11,0.0
2018-09-12,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,-0.00273808
2018-09-20,-0.00922384
2018-09-21,-0.016327
2018-09-24,-0.00660963
2018-09-25,-0.00298357
2018-09-26,0.0
2018-09-27,-0.00061421
2018-09-28,0.0
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,-0.00173242
2018-10-04,-0.00158951
2018-10-05,-0.00318012
2018-10-08,-0.0051472
2018-10-09,-0.00866611
2018-10-10,-0.00895791
2018-10-11,-0.01885482
2018-10-12,-0.04826249
2018-10-15,-0.05699543
2018-10-16,-0.06338546
2018-10-17,-0.07026799
2018-10-18,-0.07722334
2018-10-19,-0.08279728
2018-10-22,-0.08851731
2018-10-23,-0.09511976
2018-10-24,-0.10004425
2018-10-25,-0.09956403
2018-10-26,-0.09964682
2018-10-29,-0.07135917
2018-10-30,-0.0712204
2018-10-31,-0.08550256
2018-11-01,-0.12823372
2018-11-05,-0.09783748
2018-11-06,-0.0694246
2018-11-07,-0.07531012
2018-11-08,-0.09532596
2018-11-09,-0.14480572
2018-11-12,-0.14593319
2018-11-19,-0.17501015
2018-11-20,-0.20975123
2018-11-21,-0.21207678
2018-11-23,-0.31013946
2018-11-26,-0.31389018
2018-11-27,-0.32328193
2018-11-28,-0.33384526
2018-11-29,-0.34542405
2018-11-30,-0.32814615
2018-12-03,-0.30586149
2018-12-04,-0.34768358
2018-12-06,-0.38788316
2018-12-07,-0.44964548
2018-12-10,-0.46534908
2018-12-11,-0.48326265
2018-12-13,-0.54955579
2018-12-14,-0.58616172
2018-12-17,-0.61071289
2018-12-18,-0.61565844
2018-12-19,-0.64301754
2018-12-20,-0.75285639
2018-12-21,-0.86559951
2018-12-24,-0.89826513
2018-12-26,-0.93235143
2018-12-27,-0.94687132
2019-01-02,-0.96420328
2019-01-03,-0.99262251
2019-01-04,-1.0273936
2019-01-07,-1.06188902
2019-01-08,-1.11285185
2019-01-09,-1.12457722
2019-01-10,-1.17361307
2019-01-11,-1.1978191
2019-01-14,-1.23254349
2019-01-15,-1.23648659
2019-01-16,-1.24919069
2019-01-17,-1.2418745
2019-01-18,-1.25330685
2019-01-22,-1.26822866
2019-01-23,-1.25412169
2019-01-24,-1.21051662
2019-01-25,-1.13953827
2019-01-28,-1.14347337
2019-01-29,-1.1487336
2019-01-30,-1.1523827
2019-01-31,-1.17451248
2019-02-01,-1.19541695
2019-02-04,-1.19748691
2019-02-05,-1.1775701
2019-02-08,-1.19549552
2019-02-11,-1.1987455
2019-02-13,-1.21362189
2019-02-15,-1.20610155
2019-02-19,-1.15156059
2019-02-20,-1.11393952
2019-02-21,-1.09536149
2019-02-22,-1.14221735
2019-02-25,-1.15137767
2019-02-26,-1.15382629
2019-02-27,-1.15128767
2019-02-28,-1.11594455
2019-03-01,-1.10945622
2019-03-04,-1.10699785
2019-03-05,-1.1078914
2019-03-06,-1.12224486
2019-03-07,-1.15792412
2019-03-08,-1.17874967
2019-03-11,-1.16411891
2019-03-12,-1.13353599
2019-03-13,-1.1467843
2019-03-14,-1.14251902
2019-03-15,-1.13640922
2019-03-18,-1.15675394
2019-03-19,-1.17354902
2019-03-21,-1.17436946
2019-03-25,-1.16181842
2019-03-26,-1.11422696
2019-03-27,-1.11840056
2019-04-01,-1.11479838
2019-04-02,-1.05798616
2019-04-03,-1.00759714
2019-04-04,-0.99842368
2019-04-05,-0.99156184
2019-04-08,-0.9835318
2019-04-09,-0.97524784
