period,portfolio_return,cumulative_net_return,drawdown
2018-02-13,-0.0009962,-0.0009962,0.0
2018-03-02,-0.00224078,-0.00323698,-0.00224078
2018-03-05,0.00108522,-0.00215175,-0.00115555
2018-03-06,-0.0202008,-0.02235255,-0.02135635
2018-03-07,0.01792838,-0.00442417,-0.00342797
2018-03-08,5.2e-07,-0.00442365,-0.00342745
2018-03-12,0.07349779,0.06907414,0.0
2018-03-13,0.00635024,0.07542438,0.0
2018-04-02,-0.02578548,0.0496389,-0.02578548
2018-04-03,-0.03731424,0.01232466,-0.06309972
2018-04-06,-0.01293288,-0.00060822,-0.0760326
2018-04-09,-0.00701262,-0.00762084,-0.08304522
2018-04-11,-0.01793158,-0.02555242,-0.1009768
2018-04-12,-0.00324588,-0.02879831,-0.10422269
2018-04-18,-0.01132254,-0.04012085,-0.11554523
2018-04-19,-0.00662737,-0.04674822,-0.1221726
2018-04-24,-0.01402608,-0.0607743,-0.13619868
2018-04-25,-0.00077265,-0.06154695,-0.13697132
2018-04-26,-0.00125804,-0.06280498,-0.13822936
2018-04-27,0.01946912,-0.04333586,-0.11876024
2018-05-01,0.00121481,-0.04212105,-0.11754543
2018-05-02,-0.00062078,-0.04274183,-0.11816621
2018-05-03,-0.00087281,-0.04361464,-0.11903902
2018-05-14,0.0018957,-0.04171894,-0.11714332
2018-05-15,0.00276984,-0.0389491,-0.11437348
2018-05-18,0.0113114,-0.0276377,-0.10306208
2018-05-21,0.00327431,-0.02436339,-0.09978777
2018-05-22,-0.0115854,-0.03594879,-0.11137317
2018-05-23,0.01658019,-0.0193686,-0.09479298
2018-05-25,0.00221448,-0.01715412,-0.0925785
2018-06-01,0.00172477,-0.01542935,-0.09085373
2018-06-11,0.00890581,-0.00652354,-0.08194791
2018-06-12,-0.00118941,-0.00771295,-0.08313733
2018-06-13,0.01736636,0.00965341,-0.06577097
2018-06-14,0.06544051,0.07509393,-0.00033045
2018-06-15,0.03443072,0.10952464,0.0
2018-06-19,0.06133437,0.17085902,0.0
2018-06-20,0.04511452,0.21597354,0.0
2018-06-22,-0.00160619,0.21436735,-0.00160619
2018-06-25,0.00180638,0.21617373,0.0
2018-06-26,-0.00048272,0.215691,-0.00048272
2018-06-27,-0.0016448,0.2140462,-0.00212752
2018-06-29,-0.00055595,0.21349025,-0.00268348
2018-07-03,-0.0009388,0.21255145,-0.00362228
2018-07-05,0.00102786,0.21357931,-0.00259442
2018-07-06,-0.00111895,0.21246036,-0.00371337
2018-07-13,-0.00124857,0.21121179,-0.00496193
2018-07-17,0.00267082,0.21388261,-0.00229112
2018-07-18,0.00019028,0.21407289,-0.00210083
2018-07-19,0.00166322,0.21573611,-0.00043762
2018-07-20,0.00108234,0.21681845,0.0
2018-07-26,-0.00215283,0.21466562,-0.00215283
2018-07-27,-0.00074759,0.21391803,-0.00290042
2018-08-01,0.03627456,0.25019259,0.0
2018-08-02,0.0119698,0.26216238,0.0
2018-08-03,0.05050344,0.31266583,0.0
2018-08-06,0.06658223,0.37924805,0.0
2018-08-07,0.00578424,0.38503229,0.0
2018-08-08,0.01118217,0.39621446,0.0
2018-08-09,0.0084432,0.40465766,0.0
2018-08-10,0.06374268,0.46840034,0.0
2018-08-13,0.05868024,0.52708058,0.0
2018-08-22,-0.0009286,0.52615198,-0.0009286
2018-08-24,-0.00477046,0.52138153,-0.00569906
2018-08-27,-0.0042366,0.51714493,-0.00993566
2018-08-28,0.01797882,0.53512375,0.0
2018-08-30,0.01410363,0.54922738,0.0
2018-08-31,-0.00163984,0.54758754,-0.00163984
2018-09-04,0.10738094,0.65496848,0.0
2018-09-05,0.01310814,0.66807662,0.0
2018-09-06,-0.00364494,0.66443168,-0.00364494
2018-09-10,0.07855916,0.74299084,0.0
2018-09-11,0.00159288,0.74458372,0.0
2018-09-12,0.00915468,0.7537384,0.0
2018-09-17,0.00032245,0.75406085,0.0
2018-09-18,0.00795951,0.76202036,0.0
2018-09-19,-0.00273808,0.75928229,-0.00273808
2018-09-20,-0.00648576,0.75279653,-0.00922384
2018-09-21,-0.00710316,0.74569337,-0.016327
2018-09-24,0.00971737,0.75541073,-0.00660963
2018-09-25,0.00362606,0.75903679,-0.00298357
2018-09-26,0.02985897,0.78889576,0.0
2018-09-27,-0.00061421,0.78828155,-0.00061421
2018-09-28,0.00325111,0.79153266,0.0
2018-10-01,0.00683797,0.79837063,0.0
2018-10-02,0.01552915,0.81389977,0.0
2018-10-03,-0.00173242,0.81216735,-0.00173242
2018-10-04,0.00014292,0.81231027,-0.00158951
2018-10-05,-0.00159061,0.81071965,-0.00318012
2018-10-08,-0.00196708,0.80875257,-0.0051472
2018-10-09,-0.00351891,0.80523367,-0.00866611
2018-10-10,-0.0002918,0.80494187,-0.00895791
2018-10-11,-0.00989691,0.79504495,-0.01885482
2018-10-12,-0.02940768,0.76563728,-0.04826249
2018-10-15,-0.00873293,0.75690435,-0.05699543
2018-10-16,-0.00639004,0.75051431,-0.06338546
2018-10-17,-0.00688253,0.74363178,-0.07026799
2018-10-18,-0.00695534,0.73667643,-0.07722334
2018-10-19,-0.00557394,0.73110249,-0.08279728
2018-10-22,-0.00572003,0.72538247,-0.08851731
