period,drawdown
2018-02-13,0.0
2018-03-02,-0.00238083
2018-03-05,-0.0018043
2018-03-06,-0.01456594
2018-03-07,-0.0028474
2018-03-08,-0.00316634
2018-03-12,0.0
2018-03-13,0.0
2018-04-02,-0.03223185
2018-04-03,-0.07887465
2018-04-06,-0.09547035
2018-04-09,-0.10423612
2018-04-10,-0.10323659
2018-04-11,-0.11276274
2018-04-12,-0.11448712
2018-04-18,-0.12200599
2018-04-19,-0.13120718
2018-04-24,-0.13997348
2018-04-25,-0.14079442
2018-04-26,-0.14213108
2018-04-27,-0.12625057
2018-05-01,-0.12495983
2018-05-02,-0.1256194
2018-05-03,-0.12654677
2018-05-14,-0.12457917
2018-05-15,-0.12111687
2018-05-17,-0.12217249
2018-05-18,-0.1088889
2018-05-21,-0.11114319
2018-05-22,-0.12688352
2018-05-23,-0.10703113
2018-05-25,-0.10467824
2018-06-01,-0.10312026
2018-06-04,-0.10351801
2018-06-05,-0.10397221
2018-06-06,-0.10382673
2018-06-11,-0.0939272
2018-06-12,-0.09579365
2018-06-13,-0.07505131
2018-06-14,0.0
2018-06-15,0.0
2018-06-19,0.0
2018-06-20,0.0
2018-06-22,-0.00085329
2018-06-25,0.0
2018-06-26,-0.00041836
2018-06-27,-0.00129216
2018-06-29,-0.00177399
2018-07-03,-0.00227272
2018-07-05,-0.00138191
2018-07-06,-0.00249621
2018-07-13,-0.00315951
2018-07-17,-0.0008448
2018-07-18,-0.00016536
2018-07-19,0.0
2018-07-20,0.0
2018-07-26,-0.00252262
2018-07-27,-0.00339862
2018-08-01,0.0
2018-08-02,0.0
2018-08-03,0.0
2018-08-06,0.0
2018-08-07,0.0
2018-08-08,0.0
2018-08-09,0.0
2018-08-10,0.0
2018-08-13,0.0
2018-08-14,0.0
2018-08-22,-0.00098664
2018-08-24,-0.00295071
2018-08-27,-0.00394109
2018-08-28,0.0
2018-08-29,0.0
2018-08-30,0.0
2018-08-31,-0.00174233
2018-09-04,0.0
2018-09-05,0.0
2018-09-06,-0.00387275
2018-09-10,0.0
2018-09-11,0.0
2018-09-12,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,-0.002373
2018-09-20,-0.0104802
2018-09-21,-0.01935915
2018-09-24,-0.0141968
2018-09-25,-0.01034411
2018-09-26,0.0
2018-09-27,-0.0003263
2018-09-28,0.0
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,-0.00138052
2018-10-04,-0.00028361
2018-10-05,-0.00112862
2018-10-08,-0.00217364
2018-10-09,-0.0044485
2018-10-10,-0.00332351
2018-10-11,-0.01042257
2018-10-12,-0.04360566
2018-10-15,-0.04979148
2018-10-16,-0.05431776
2018-10-17,-0.05919288
2018-10-18,-0.06411958
2018-10-19,-0.06640215
2018-10-22,-0.06944091
2018-10-23,-0.07294846
2018-10-24,-0.07380228
2018-10-25,-0.07329205
2018-10-26,-0.07338001
2018-10-29,-0.05459525
2018-10-30,-0.05623477
2018-10-31,-0.07714734
2018-11-01,-0.10900075
2018-11-02,-0.11009415
2018-11-05,-0.0910965
2018-11-06,-0.07891973
2018-11-07,-0.08627663
2018-11-08,-0.097497
2018-11-09,-0.12857349
2018-11-12,-0.12977143
2018-11-16,-0.13141312
2018-11-19,-0.1598733
2018-11-20,-0.21395522
2018-11-21,-0.21727215
2018-11-23,-0.27614727
2018-11-26,-0.28336773
2018-11-27,-0.30950775
2018-11-28,-0.33056501
2018-11-29,-0.34663587
2018-11-30,-0.32503849
2018-12-03,-0.2971388
2018-12-04,-0.33409878
2018-12-06,-0.3706015
2018-12-07,-0.4478044
2018-12-10,-0.46620538
2018-12-11,-0.48842478
2018-12-13,-0.53037312
2018-12-14,-0.55860257
2018-12-17,-0.58572551
2018-12-18,-0.59067293
2018-12-19,-0.60884108
2018-12-20,-0.71981803
2018-12-21,-0.79671118
2018-12-24,-0.82108671
2018-12-26,-0.86369458
2018-12-27,-0.87881186
2018-12-31,-0.88374907
2019-01-02,-0.90541402
2019-01-03,-0.93862794
2019-01-04,-0.97526223
2019-01-07,-1.01154728
2019-01-08,-1.04636473
2019-01-09,-1.05780828
2019-01-10,-1.11637475
2019-01-11,-1.14384578
2019-01-14,-1.18226638
2019-01-15,-1.18645591
2019-01-16,-1.20158315
2019-01-17,-1.19279059
2019-01-18,-1.20629768
2019-01-22,-1.22420883
2019-01-23,-1.2176324
2019-01-24,-1.19039128
2019-01-25,-1.14837372
2019-01-28,-1.15255477
2019-01-29,-1.15814375
2019-01-30,-1.16202092
2019-01-31,-1.18909389
2019-02-01,-1.21465125
2019-02-04,-1.22785214
2019-02-05,-1.21158078
2019-02-08,-1.23460657
2019-02-11,-1.2384148
2019-02-13,-1.25514264
2019-02-15,-1.24574221
2019-02-19,-1.17756601
2019-02-20,-1.12675605
2019-02-21,-1.0939231
2019-02-22,-1.15234909
2019-02-25,-1.16281089
2019-02-26,-1.16454615
2019-02-27,-1.16724655
2019-02-28,-1.1445172
2019-03-01,-1.13633825
2019-03-04,-1.13213511
2019-03-05,-1.13266788
2019-03-06,-1.14583897
2019-03-07,-1.18589096
2019-03-08,-1.20955465
2019-03-11,-1.19107116
2019-03-12,-1.153062
2019-03-13,-1.16832873
2019-03-14,-1.16299713
2019-03-15,-1.15535988
2019-03-18,-1.17994278
2019-03-19,-1.20093663
2019-03-21,-1.20196218
2019-03-25,-1.18627338
2019-03-26,-1.12678405
2019-03-27,-1.13200105
2019-04-01,-1.12769139
2019-04-02,-1.05432885
2019-04-03,-0.99134258
2019-04-04,-0.97987575
2019-04-05,-0.97129845
2019-04-08,-0.9612609
2019-04-09,-0.95090595
2019-04-10,-0.94100318
2019-04-11,-0.90876743
2019-04-15,-0.73087464
2019-04-16,-0.72108483
2019-04-17,-0.69280203
2019-04-18,-0.65287743
2019-04-22,-0.65337245
2019-04-29,-0.61616225
2019-05-01,-0.61084573
2019-05-02,-0.46917126
2019-05-03,-0.25101949
2019-05-06,-0.05434617
2019-05-07,0.0
2019-05-08,0.0
2019-05-09,0.0
