period,portfolio_return,cumulative_net_return,drawdown
2018-02-13,-0.00105846,-0.00105846,0.0
2018-03-02,-0.00238083,-0.00343929,-0.00238083
2018-03-05,0.00057653,-0.00286276,-0.0018043
2018-03-06,-0.01276164,-0.0156244,-0.01456594
2018-03-07,0.01171854,-0.00390586,-0.0028474
2018-03-08,-0.00031894,-0.0042248,-0.00316634
2018-03-12,0.04698541,0.04276061,0.0
2018-03-13,0.00405819,0.0468188,0.0
2018-04-02,-0.03223185,0.01458695,-0.03223185
2018-04-03,-0.0466428,-0.03205585,-0.07887465
2018-04-06,-0.0165957,-0.04865155,-0.09547035
2018-04-09,-0.00876578,-0.05741732,-0.10423612
2018-04-10,0.00099953,-0.05641779,-0.10323659
2018-04-11,-0.00952615,-0.06594394,-0.11276274
2018-04-12,-0.00172437,-0.06766832,-0.11448712
2018-04-18,-0.00751888,-0.07518719,-0.12200599
2018-04-19,-0.00920119,-0.08438838,-0.13120718
2018-04-24,-0.0087663,-0.09315468,-0.13997348
2018-04-25,-0.00082094,-0.09397562,-0.14079442
2018-04-26,-0.00133666,-0.09531228,-0.14213108
2018-04-27,0.01588051,-0.07943177,-0.12625057
2018-05-01,0.00129074,-0.07814103,-0.12495983
2018-05-02,-0.00065958,-0.0788006,-0.1256194
2018-05-03,-0.00092736,-0.07972797,-0.12654677
2018-05-14,0.0019676,-0.07776037,-0.12457917
2018-05-15,0.0034623,-0.07429807,-0.12111687
2018-05-17,-0.00105563,-0.07535369,-0.12217249
2018-05-18,0.01328359,-0.0620701,-0.1088889
2018-05-21,-0.00225429,-0.06432439,-0.11114319
2018-05-22,-0.01574033,-0.08006472,-0.12688352
2018-05-23,0.01985239,-0.06021233,-0.10703113
2018-05-25,0.00235289,-0.05785944,-0.10467824
2018-06-01,0.00155798,-0.05630146,-0.10312026
2018-06-04,-0.00039775,-0.05669921,-0.10351801
2018-06-05,-0.0004542,-0.05715341,-0.10397221
2018-06-06,0.00014548,-0.05700793,-0.10382673
2018-06-11,0.00989953,-0.0471084,-0.0939272
2018-06-12,-0.00186645,-0.04897485,-0.09579365
2018-06-13,0.02074234,-0.02823251,-0.07505131
2018-06-14,0.0793075,0.05107499,0.0
2018-06-15,0.04233916,0.09341415,0.0
2018-06-19,0.0751773,0.16859145,0.0
2018-06-20,0.05591984,0.2245113,0.0
2018-06-22,-0.00085329,0.22365801,-0.00085329
2018-06-25,0.00095964,0.22461765,0.0
2018-06-26,-0.00041836,0.22419929,-0.00041836
2018-06-27,-0.0008738,0.22332549,-0.00129216
2018-06-29,-0.00048183,0.22284366,-0.00177399
2018-07-03,-0.00049874,0.22234492,-0.00227272
2018-07-05,0.00089081,0.22323573,-0.00138191
2018-07-06,-0.0011143,0.22212143,-0.00249621
2018-07-13,-0.0006633,0.22145813,-0.00315951
2018-07-17,0.00231471,0.22377284,-0.0008448
2018-07-18,0.00067945,0.22445229,-0.00016536
2018-07-19,0.00151334,0.22596563,0.0
2018-07-20,0.00114999,0.22711562,0.0
2018-07-26,-0.00252262,0.224593,-0.00252262
2018-07-27,-0.000876,0.223717,-0.00339862
2018-08-01,0.0453432,0.2690602,0.0
2018-08-02,0.00880775,0.27786794,0.0
