symbol,event_date,previous_date,provider_dataset,daily_open,daily_prev_close,daily_gap,daily_volume,daily_adv20,daily_relative_volume
AEHR,2023-03-02,2023-03-01,XNAS.ITCH,33.0,35.23,-0.06329832529094515,2012528,284767.8,7.067259711245443
ARRY,2024-11-06,2024-11-05,XNAS.ITCH,7.09,7.61,-0.06833114323258871,6088940,1506554.55,4.041632611311685
CABA,2025-06-11,2025-06-10,XNAS.ITCH,2.19,2.35,-0.06808510638297882,1834168,466467.2,3.9320406665248915
CABA,2022-07-28,2022-07-27,XNAS.ITCH,1.22,1.29,-0.054263565891472965,104889,27125.45,3.8668114261698885
CRMD,2024-03-12,2024-03-11,XNAS.ITCH,3.3,3.51,-0.05982905982905984,226167,76804.35,2.9447160219440693
IOVA,2022-11-18,2022-11-17,XNAS.ITCH,6.47,7.1,-0.08873239436619718,2756597,974437.65,2.8289106029513533
AEHR,2025-04-07,2025-04-04,XNAS.ITCH,6.72,7.21,-0.06796116504854377,525126,217511.6,2.4142436541315497
CABA,2022-06-21,2022-06-17,XNAS.ITCH,1.04,1.18,-0.11864406779661008,67256,28304.05,2.3761970460057835
CABA,2022-06-23,2022-06-22,XNAS.ITCH,1.01,1.1,-0.0818181818181819,73941,32026.0,2.3087803659526633
CABA,2025-09-18,2025-09-17,XNAS.ITCH,1.93,2.04,-0.05392156862745101,613818,270964.95,2.2653040550078525
CABA,2022-04-04,2022-04-01,XNAS.ITCH,1.95,2.12,-0.08018867924528306,93909,44351.75,2.1173685367544683
IOVA,2025-04-07,2025-04-04,XNAS.ITCH,2.81,3.0,-0.06333333333333335,4021286,1993712.55,2.0169838425303586
