symbol,date,is_sec_8k_event_day,return_abs,signed_return,volume,volume_ratio_vs_20d_median,lookback_days,source
CRMD,2022-02-01,False,0.0023640662,-0.0023640662,36068,0.96003407,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-02,False,0.0260663507,-0.0260663507,37251,1.00451683,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-03,False,0.0389294404,-0.0389294404,33980,0.91025984,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-04,False,0.0227848101,0.0227848101,33545,0.90651137,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-07,False,0.0123762376,0.0123762376,51825,1.40050534,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-08,False,0.0048899756,-0.0048899756,21978,0.588749,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-09,False,0.0221130221,0.0221130221,54000,1.44655773,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-10,False,0.0048076923,-0.0048076923,76987,2.04918884,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-11,False,0.0410628019,-0.0410628019,37381,0.99498263,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-14,False,0.0,0.0,28401,0.75948656,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-15,False,0.0377833753,0.0377833753,20925,0.55956679,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-16,False,0.0145631068,0.0145631068,17708,0.47454175,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-17,False,0.0167464115,-0.0167464115,34748,0.94576829,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-18,False,0.0389294404,-0.0389294404,40213,1.11242358,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-22,False,0.0025316456,0.0025316456,45919,1.27027027,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-23,False,0.0606060606,-0.0606060606,29118,0.80549946,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-24,False,0.0591397849,0.0591397849,51060,1.41248721,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-25,False,0.0203045685,0.0203045685,25766,0.70284647,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-02-28,False,0.2139303483,0.2139303483,283105,7.72255486,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-01,False,0.0245901639,-0.0245901639,82170,2.2414381,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-02,False,0.0021008403,-0.0021008403,35662,0.97279014,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-03,False,0.0021052632,-0.0021052632,36119,0.99074239,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-04,False,0.0569620253,-0.0569620253,36118,1.00633872,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-07,False,0.0246085011,-0.0246085011,43227,1.1968105,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-08,False,0.0344036697,-0.0344036697,62741,1.7072381,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-09,False,0.0380047506,0.0380047506,88615,2.41129252,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-10,False,0.0720823799,0.0720823799,102513,2.64229193,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-11,False,0.0352187834,0.0352187834,127034,3.27432533,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-14,False,0.0329896907,-0.0329896907,59224,1.52650978,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-15,False,0.0277185501,0.0277185501,44007,1.05481783,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-16,False,0.0560165975,0.0560165975,68290,1.56567393,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-17,False,0.0196463654,-0.0196463654,80353,1.78709161,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-18,False,0.0440881764,0.0440881764,166584,3.43546541,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-21,False,0.0671785029,-0.0671785029,79921,1.44936709,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-22,False,0.0596707819,0.0596707819,68558,1.12422416,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-23,False,0.1417475728,0.1417475728,135772,2.07236455,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-24,False,0.0612244898,0.0612244898,122976,1.79726412,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-25,False,0.0320512821,-0.0320512821,87171,1.17418625,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-28,False,0.0430463576,-0.0430463576,116595,1.45494591,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-29,False,0.0034602076,0.0034602076,83293,1.03938256,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-30,False,0.0103448276,0.0103448276,159185,1.98641077,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-03-31,False,0.0648464164,-0.0648464164,118758,1.4514012,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-01,False,0.0182481752,0.0182481752,83224,0.97644077,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-04,False,0.0017921147,0.0017921147,52358,0.61429979,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-05,False,0.0035778175,0.0035778175,71153,0.83481556,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-06,False,0.0124777184,-0.0124777184,54344,0.6376009,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-07,False,0.0342960289,-0.0342960289,60318,0.72446657,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-08,False,0.0224299065,-0.0224299065,37712,0.46109172,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-11,False,0.0420650096,-0.0420650096,67959,0.84803524,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-12,False,0.0139720559,-0.0139720559,64371,0.80326191,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-13,False,0.0384615385,0.0384615385,50195,0.62636485,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-14,False,0.0331384016,-0.0331384016,71355,0.89041267,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-18,False,0.0483870968,-0.0483870968,51762,0.68433856,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-19,False,0.0042372881,0.0042372881,69657,0.97758722,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-20,False,0.0126582278,-0.0126582278,45197,0.64195725,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-21,False,0.0854700855,-0.0854700855,111079,1.57771465,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-22,False,0.035046729,-0.035046729,81692,1.16031532,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-25,False,0.0169491525,-0.0169491525,70022,0.99456005,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-26,False,0.0541871921,-0.0541871921,63401,0.90781005,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-27,False,0.0572916667,-0.0572916667,81848,1.18951285,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-28,False,0.0248618785,-0.0248618785,85016,1.23555401,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-04-29,False,0.0254957507,-0.0254957507,67541,0.98158644,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-02,False,0.0348837209,0.0348837209,89547,1.32172694,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-03,False,0.0196629213,-0.0196629213,74742,1.10320295,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-04,False,0.0401146132,0.0401146132,76033,1.10500233,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-05,False,0.0633608815,-0.0633608815,71879,1.04463144,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-06,False,0.0176470588,-0.0176470588,116407,1.66677883,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-09,False,0.0718562874,-0.0718562874,64467,0.9119871,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-10,False,0.0903225806,0.0903225806,86482,1.22342389,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-11,False,0.0798816568,-0.0798816568,60847,0.84961671,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-12,False,0.0418006431,-0.0418006431,103735,1.44846894,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-13,False,0.0973154362,0.0973154362,115453,1.57484944,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-16,False,0.1039755352,0.1039755352,183233,2.43054883,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-17,False,0.0581717452,0.0581717452,106319,1.3481566,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-18,False,0.057591623,-0.057591623,97279,1.18966614,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-19,False,0.0305555556,-0.0305555556,91726,1.0994103,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-20,False,0.0372492837,-0.0372492837,67630,0.81060025,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-23,False,0.0178571429,-0.0178571429,36511,0.43761387,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-24,False,0.0151515152,-0.0151515152,79793,0.95638364,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-25,False,0.0030769231,-0.0030769231,79049,0.9474662,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-26,False,0.0185185185,-0.0185185185,74911,0.90906443,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-27,False,0.0251572327,-0.0251572327,101951,1.28367812,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-05-31,False,0.0612903226,0.0612903226,82292,0.9898301,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-01,False,0.0911854103,-0.0911854103,151144,1.86499676,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-02,False,0.0033444816,0.0033444816,49924,0.59160771,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-03,False,0.0,0.0,103907,1.23131525,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-06,False,0.0333333333,-0.0333333333,112091,1.25797944,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-07,False,0.0517241379,0.0517241379,143377,1.60909723,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-08,False,0.0459016393,0.0459016393,114450,1.21107907,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-09,False,0.012539185,-0.012539185,107344,1.07758872,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-10,False,0.0761904762,-0.0761904762,90969,0.88454246,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-13,False,0.0068728522,-0.0068728522,105593,1.06001104,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-14,False,0.0380622837,-0.0380622837,69071,0.69337951,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-15,False,0.035971223,0.035971223,87626,0.92723473,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-16,False,0.0520833333,-0.0520833333,102438,1.12141,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-17,False,0.0036630037,0.0036630037,137093,1.50078546,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-21,False,0.0912408759,0.0912408759,106911,1.10834543,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-22,False,0.0702341137,0.0702341137,92696,0.90705468,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-23,False,0.13125,0.13125,132458,1.29613629,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-24,False,0.046961326,-0.046961326,3586386,34.76106521,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-27,False,0.0231884058,0.0231884058,67227,0.6417852,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-28,False,0.0084985836,0.0084985836,50224,0.47946539,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-29,False,0.0084269663,0.0084269663,44357,0.42345585,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-06-30,False,0.1197771588,0.1197771588,111744,1.0667685,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-01,False,0.0472636816,-0.0472636816,53881,0.51437709,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-05,False,0.1279373368,0.1279373368,87280,0.83322196,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-06,False,0.0925925926,-0.0925925926,190026,1.8269008,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-07,False,0.0408163265,0.0408163265,49386,0.47479462,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-08,False,0.0245098039,0.0245098039,45465,0.46598748,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-11,False,0.0693779904,-0.0693779904,31679,0.34496502,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-12,False,0.0771208226,0.0771208226,48553,0.54372183,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-13,False,0.0119331742,0.0119331742,36945,0.42245549,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-14,False,0.0117924528,-0.0117924528,23237,0.29724146,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-15,False,0.107398568,0.107398568,64223,0.83132803,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-18,False,0.0452586207,-0.0452586207,50552,0.76914416,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-19,False,0.0383747178,0.0383747178,48382,0.81931179,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-20,False,0.1891304348,0.1891304348,178995,3.42793944,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-21,False,0.0182815356,0.0182815356,97779,1.87256902,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-22,False,0.026929982,-0.026929982,52116,0.99807532,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-25,False,0.0147601476,0.0147601476,41474,0.80792457,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-26,False,0.0090909091,-0.0090909091,39649,0.78687386,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-27,False,0.0018348624,-0.0018348624,29544,0.59319345,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-28,False,0.0110294118,0.0110294118,25956,0.53004421,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-07-29,False,0.02,-0.02,38560,0.78742891,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-01,False,0.0185528757,0.0185528757,29412,0.60683963,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-02,False,0.1111111111,0.1111111111,118106,2.51699042,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-03,False,0.0245901639,0.0245901639,84913,1.809605,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-04,False,0.048,0.048,131367,2.79959935,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-05,False,0.1022900763,0.1022900763,88095,1.8774175,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-08,False,0.5831024931,-0.5831024931,239177,4.93479136,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-09,False,0.0598006645,0.0598006645,718291,14.49555522,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-10,False,0.0815047022,0.0815047022,303112,5.90470254,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-11,False,0.0115942029,0.0115942029,238404,4.09843647,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-12,False,0.2263610315,0.2263610315,167703,2.24899421,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-15,False,0.035046729,-0.035046729,153710,1.77691205,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-16,False,0.0363196126,0.0363196126,93214,1.00298051,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-17,False,0.0607476636,-0.0607476636,59307,0.62103847,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-18,False,0.0,0.0,55890,0.61651655,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-19,False,0.0273631841,-0.0273631841,43792,0.50624249,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-22,False,0.0485933504,-0.0485933504,76821,0.88806298,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-23,False,0.0510752688,0.0510752688,67343,0.77849579,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-24,False,0.0051150895,0.0051150895,30373,0.35111671,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-25,False,0.0279898219,-0.0279898219,65502,0.75721354,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-26,False,0.0235602094,-0.0235602094,49883,0.57665541,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-29,False,0.0214477212,-0.0214477212,48138,0.55648294,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-30,False,0.0465753425,-0.0465753425,60189,0.69579441,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-08-31,False,0.0143678161,0.0143678161,44349,0.54841901,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-09-01,False,0.0254957507,-0.0254957507,53813,0.74655254,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-09-02,False,0.023255814,0.023255814,34959,0.52631262,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-09-06,False,0.0340909091,-0.0340909091,62597,0.99604586,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-09-07,False,0.0470588235,0.0470588235,26723,0.43527764,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-09-08,False,0.0252808989,0.0252808989,46795,0.78320613,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-09-09,False,0.0191780822,0.0191780822,32368,0.56195908,20,existing_sec_event_panel_and_existing_databento_prices
CRMD,2022-09-12,False,0.0053763441,0.0053763441,25656,0.46773561,20,existing_sec_event_panel_and_existing_databento_prices
