status,symbol,cik,accessionNumber,filingDate,acceptanceDateTime,classification,reaction_session_date,items,event_source,raw_payload_retained,error
event,AEHR,0001040470,0001654954-26-003310,2026-04-07,2026-04-07T20:28:06.000Z,AMC,2026-04-08,"2.02,5.03,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-26-000197,2026-01-08,2026-01-08T22:04:52.000Z,AMC,2026-01-09,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-25-011494,2025-10-06,2025-10-06T20:35:41.000Z,AMC,2025-10-07,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-25-007859,2025-07-08,2025-07-08T20:22:47.000Z,AMC,2025-07-09,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-25-004020,2025-04-08,2025-04-08T21:06:14.000Z,AMC,2025-04-09,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-25-000292,2025-01-13,2025-01-13T21:37:51.000Z,AMC,2025-01-14,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-24-012870,2024-10-10,2024-10-10T20:42:51.000Z,AMC,2024-10-11,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-24-009013,2024-07-16,2024-07-16T21:22:03.000Z,AMC,2024-07-17,"2.02,5.03,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-24-008746,2024-07-09,2024-07-09T20:15:14.000Z,AMC,2024-07-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-24-004414,2024-04-09,2024-04-09T20:17:38.000Z,AMC,2024-04-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-24-000372,2024-01-09,2024-01-09T21:25:29.000Z,AMC,2024-01-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-23-012655,2023-10-05,2023-10-05T21:00:09.000Z,AMC,2023-10-06,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-23-009130,2023-07-13,2023-07-13T20:24:46.000Z,AMC,2023-07-14,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-23-003930,2023-03-30,2023-03-30T20:32:05.000Z,AMC,2023-03-31,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-23-000150,2023-01-05,2023-01-05T21:26:15.000Z,AMC,2023-01-06,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-22-013450,2022-10-06,2022-10-06T20:25:07.000Z,AMC,2022-10-07,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-22-004342,2022-03-31,2022-03-31T20:35:24.000Z,AMC,2022-04-01,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-22-000280,2022-01-06,2022-01-06T21:38:49.000Z,AMC,2022-01-07,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-21-010351,2021-09-23,2021-09-23T20:23:55.000Z,AMC,2021-09-24,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-21-007973,2021-07-15,2021-07-15T20:21:13.000Z,AMC,2021-07-16,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,AEHR,0001040470,0001654954-21-004001,2021-04-08,2021-04-08T20:23:56.000Z,AMC,2021-04-09,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
