symbol,date,is_sec_8k_event_day,return_abs,signed_return,volume,volume_ratio_vs_20d_median,lookback_days,source
AEHR,2022-02-01,False,0.0470588235,0.0470588235,210176,0.52292148,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-02,False,0.0786516854,-0.0786516854,300922,0.74869908,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-03,False,0.0008130081,-0.0008130081,161918,0.41097452,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-04,False,0.0138323841,-0.0138323841,159110,0.41075326,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-07,False,0.0140264026,0.0140264026,179088,0.47060184,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-08,False,0.0984540277,0.0984540277,176137,0.46641634,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-09,False,0.1007407407,0.1007407407,293868,0.78647196,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-10,False,0.0383580081,-0.0383580081,288714,0.81099894,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-11,False,0.0713785864,-0.0713785864,254569,0.79977443,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-14,False,0.0052750565,-0.0052750565,167213,0.56225895,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-15,False,0.096969697,0.096969697,211233,0.72516144,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-16,False,0.0020718232,-0.0020718232,118267,0.43537898,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-17,False,0.0560553633,-0.0560553633,107576,0.4249488,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-18,False,0.07771261,-0.07771261,201924,0.87230784,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-22,False,0.0445151033,-0.0445151033,235350,1.11696713,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-23,False,0.0241264559,-0.0241264559,146634,0.69592249,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-24,False,0.0707587383,0.0707587383,233511,1.13327348,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-25,False,0.023089172,0.023089172,147440,0.71555448,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-02-28,False,0.0490272374,0.0490272374,235640,1.21722735,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-01,False,0.0014836795,-0.0014836795,128944,0.62578986,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-02,False,0.0416047548,0.0416047548,146252,0.76770285,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-03,False,0.0699001427,-0.0699001427,102294,0.57593919,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-04,False,0.0920245399,-0.0920245399,206006,1.1999767,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-07,False,0.0709459459,-0.0709459459,202624,1.14082061,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-08,False,0.0172727273,-0.0172727273,429153,2.2527007,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-09,False,0.0601295097,0.0601295097,196441,0.97116288,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-10,False,0.0462478185,-0.0462478185,184787,0.91354796,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-11,False,0.0411710887,-0.0411710887,154259,0.77446061,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-14,False,0.1240458015,-0.1240458015,502230,2.63480122,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-15,False,0.0174291939,0.0174291939,332863,1.74626733,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-16,False,0.1274089936,0.1274089936,331003,1.66180764,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-17,False,0.0227920228,0.0227920228,133581,0.67064627,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-18,False,0.0510677809,0.0510677809,176021,0.88371719,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-21,False,0.0865724382,-0.0865724382,154951,0.77793481,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-22,False,0.0560928433,0.0560928433,311564,1.63452842,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-23,False,0.0155677656,-0.0155677656,199973,1.04909923,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-24,False,0.0251162791,0.0251162791,134075,0.67643928,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-25,False,0.0417422868,-0.0417422868,130823,0.68632419,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-28,False,0.0236742424,-0.0236742424,139416,0.73140483,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-29,False,0.0659553831,0.0659553831,252389,1.39902109,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-30,False,0.0418562329,-0.0418562329,126049,0.66127881,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-03-31,False,0.0208926876,0.0208926876,226079,1.18605664,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-01,True,0.0576744186,-0.0576744186,335455,1.69244779,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-04,False,0.0503455084,0.0503455084,221028,1.11513721,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-05,False,0.0422932331,-0.0422932331,180337,0.90984173,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-06,False,0.0618253189,-0.0618253189,189015,0.99161132,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-07,False,0.0115062762,-0.0115062762,118373,0.633346,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-08,False,0.0211640212,-0.0211640212,364836,1.97554636,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-11,False,0.0367567568,-0.0367567568,233466,1.20037636,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-12,False,0.0056116723,0.0056116723,236720,1.21710695,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-13,False,0.0502232143,0.0502232143,167074,0.85901879,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-14,False,0.0446333688,-0.0446333688,115704,0.62652429,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-18,False,0.0144605117,-0.0144605117,148465,0.80392146,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-19,False,0.0237020316,0.0237020316,121025,0.65533691,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-20,False,0.0187431092,-0.0187431092,146220,0.79176504,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-21,False,0.0808988764,-0.0808988764,220870,1.2715199,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-22,False,0.0574572127,-0.0574572127,162758,0.93697666,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-25,False,0.0428015564,0.0428015564,229029,1.3184902,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-26,False,0.0733830846,-0.0733830846,140064,0.75843098,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-27,False,0.0711409396,0.0711409396,149389,0.80892482,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-28,False,0.0100250627,-0.0100250627,117320,0.675396,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-04-29,False,0.0278481013,-0.0278481013,182951,1.05322514,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-02,False,0.0611979167,0.0611979167,131405,0.75648152,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-03,False,0.0245398773,0.0245398773,92070,0.55828422,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-04,False,0.074251497,0.074251497,139970,0.89682105,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-05,False,0.0769230769,-0.0769230769,121574,0.81633283,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-06,False,0.0942028986,-0.0942028986,122453,0.83107725,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-09,False,0.048,-0.048,297448,2.01875223,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-10,False,0.0084033613,-0.0084033613,137771,0.93503911,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-11,False,0.0098870056,-0.0098870056,179742,1.25569015,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-12,False,0.0427960057,0.0427960057,193880,1.35445921,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-13,False,0.098495212,0.098495212,130034,0.9084266,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-16,False,0.0186799502,-0.0186799502,71297,0.49808582,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-17,False,0.078680203,0.078680203,110892,0.79198954,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-18,False,0.0458823529,-0.0458823529,98818,0.70575716,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-19,False,0.0061652281,0.0061652281,107143,0.77153175,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-20,False,0.0306372549,-0.0306372549,112691,0.83730347,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-23,False,0.0252844501,-0.0252844501,77094,0.58976664,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-24,False,0.0687418936,-0.0687418936,120059,0.95101134,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-25,False,0.0292479109,0.0292479109,102720,0.84187405,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-26,False,0.0608930988,0.0608930988,91693,0.75894435,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-27,False,0.0943877551,0.0943877551,101496,0.84008393,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-05-31,False,0.0233100233,-0.0233100233,285728,2.45523523,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-01,False,0.0572792363,0.0572792363,113885,0.97860365,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-02,False,0.0778781038,0.0778781038,128184,1.095852,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-03,False,0.0167539267,-0.0167539267,86729,0.74145095,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-06,False,0.0191693291,-0.0191693291,131276,1.15878116,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-07,False,0.0076004343,0.0076004343,61608,0.54381753,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-08,False,0.0129310345,-0.0129310345,62722,0.56106233,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-09,False,0.0611353712,-0.0611353712,67286,0.61720366,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-10,False,0.026744186,-0.026744186,114850,1.09452357,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-13,False,0.0931899642,-0.0931899642,127680,1.21679381,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-14,False,0.0184453228,0.0184453228,48750,0.4645888,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-15,False,0.0452781371,0.0452781371,84004,0.80056037,20,sec_edgar_submissions_and_existing_databento_prices
AEHR,2022-06-16,False,0.1051980198,-0.1051980198,63551,0.62239002,20,sec_edgar_submissions_and_existing_databento_prices
