symbol,signal_date,entry_date,exit_date,pnl,return_pct,winner_label,is_top3_winner,overlaps_sec8k_window,nearest_event_date,nearest_event_anchor,nearest_event_distance_trading_days,window_days
CRMD,2024-12-31,2025-01-02,2025-02-04,29862.620437,0.298632238,winner,False,True,2025-01-07,entry,-3,5
CRMD,2025-01-31,2025-02-03,2025-03-05,-1232.395461,-0.0094900446,loser,False,False,2025-03-25,exit,-14,5
CRMD,2025-02-28,2025-03-03,2025-04-01,-52688.381603,-0.4096112806,loser,False,True,2025-03-25,exit,5,5
CRMD,2025-03-31,2025-04-01,2025-05-01,45929.727566,0.6048150318,winner,True,True,2025-05-06,exit,-3,5
CRMD,2025-04-30,2025-05-01,2025-06-02,46861.703373,0.3845204924,winner,True,True,2025-05-06,entry,-3,5
CRMD,2025-05-30,2025-06-02,2025-07-02,-7703.904097,-0.0456598611,loser,False,False,2025-05-06,signal,17,5
CRMD,2025-06-30,2025-07-01,2025-07-31,-9846.473523,-0.0611471027,loser,False,True,2025-08-07,exit,-5,5
CRMD,2025-07-31,2025-08-01,2025-09-02,39286.661902,0.2598811338,winner,False,True,2025-08-07,entry,-4,5
AEHR,2025-08-29,2025-09-02,2025-10-01,66657.140802,0.3499632018,winner,True,True,2025-10-07,exit,-4,5
AEHR,2025-09-30,2025-10-01,2025-10-30,-35910.761711,-0.1396774576,loser,False,True,2025-10-07,entry,-4,5
AEHR,2025-10-31,2025-11-03,2025-12-03,-11852.684787,-0.0535811546,loser,False,False,2025-10-07,signal,18,5
