event_id,provider_name,provider_symbol_resolves,historical_identifier_stable,event_window_available,raw_ohlcv_available,adjusted_ohlcv_available,corporate_action_metadata_available,halt_or_suspension_visible,delisted_history_available,point_in_time_universe_supported,licensing_allows_research_storage,pipeline_integration_complexity,severity,verdict,notes
DPE-001,Example Provider Dry Run,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_applicable,not_executed,not_executed,unclear,medium,medium,caveat,DRY_RUN_TEMPLATE_NO_PROVIDER_QUERY
DPE-002,Example Provider Dry Run,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_applicable,not_applicable,not_executed,unclear,medium,medium,caveat,DRY_RUN_TEMPLATE_NO_PROVIDER_QUERY
DPE-003,Example Provider Dry Run,not_executed,not_executed,not_executed,not_executed,not_executed,not_applicable,not_executed,not_applicable,not_executed,unclear,medium,medium,caveat,DRY_RUN_TEMPLATE_NO_PROVIDER_QUERY
DPE-004,Example Provider Dry Run,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_applicable,not_applicable,not_executed,unclear,medium,medium,caveat,DRY_RUN_TEMPLATE_NO_PROVIDER_QUERY
DPE-005,Example Provider Dry Run,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_applicable,not_applicable,not_executed,unclear,medium,medium,caveat,DRY_RUN_TEMPLATE_NO_PROVIDER_QUERY
DPE-006,Example Provider Dry Run,yes,unclear,yes,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,unclear,medium,medium,caveat,DATABENTO_ONE_EVENT_MICRO_PROBE_EXECUTED_LIMITED_SCOPE
DPE-007,Example Provider Dry Run,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_applicable,not_applicable,not_executed,unclear,medium,medium,caveat,DRY_RUN_TEMPLATE_NO_PROVIDER_QUERY
DPE-008,Example Provider Dry Run,not_executed,not_executed,not_executed,not_executed,not_executed,not_applicable,not_executed,not_applicable,not_executed,unclear,medium,medium,caveat,DRY_RUN_TEMPLATE_NO_PROVIDER_QUERY
DPE-009,Example Provider Dry Run,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_applicable,not_applicable,not_executed,unclear,medium,medium,caveat,DRY_RUN_TEMPLATE_NO_PROVIDER_QUERY
DPE-010,Example Provider Dry Run,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_applicable,not_applicable,not_executed,unclear,medium,medium,caveat,DRY_RUN_TEMPLATE_NO_PROVIDER_QUERY
