event_id,provider_name,provider_symbol_resolves,historical_identifier_stable,event_window_available,raw_ohlcv_available,adjusted_ohlcv_available,corporate_action_metadata_available,halt_or_suspension_visible,delisted_history_available,point_in_time_universe_supported,licensing_allows_research_storage,pipeline_integration_complexity,severity,verdict,notes
DPE-001,Polygon.io Stocks Basic Free,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,medium,medium,pending,POLYGON_FREE_PREFLIGHT_PENDING
DPE-002,Polygon.io Stocks Basic Free,yes,partial,not_tested,not_tested,not_tested,yes,not_tested,not_tested,unclear,unclear,medium,medium,caveat,POLYGON_FREE_MICRO_PROBE_EXECUTED_NO_RAW_RETENTION
DPE-003,Polygon.io Stocks Basic Free,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,medium,medium,pending,POLYGON_FREE_PREFLIGHT_PENDING
DPE-004,Polygon.io Stocks Basic Free,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,medium,medium,pending,POLYGON_FREE_PREFLIGHT_PENDING
DPE-005,Polygon.io Stocks Basic Free,yes,partial,not_tested,not_tested,not_tested,yes,not_tested,not_tested,unclear,unclear,medium,medium,caveat,POLYGON_FREE_MICRO_PROBE_EXECUTED_NO_RAW_RETENTION
DPE-006,Polygon.io Stocks Basic Free,yes,partial,not_tested,not_tested,not_tested,not_tested,not_tested,partial,unclear,unclear,medium,medium,caveat,POLYGON_FREE_MICRO_PROBE_EXECUTED_NO_RAW_RETENTION
DPE-007,Polygon.io Stocks Basic Free,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,medium,medium,pending,POLYGON_FREE_PREFLIGHT_PENDING
DPE-008,Polygon.io Stocks Basic Free,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,medium,medium,pending,POLYGON_FREE_PREFLIGHT_PENDING
DPE-009,Polygon.io Stocks Basic Free,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,not_executed,medium,medium,pending,POLYGON_FREE_PREFLIGHT_PENDING
DPE-010,Polygon.io Stocks Basic Free,yes,partial,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,unclear,unclear,medium,medium,caveat,POLYGON_FREE_MICRO_PROBE_EXECUTED_NO_RAW_RETENTION
