symbol,signal_date,momentum_3m,momentum_6m,momentum_12m,rank_aggregate_score,signal_close,avg_dollar_volume_20d,rolling_volatility_20d,candidate_status,reject_reason,entry_date
AEHR,2024-12-31,0.3606557377049182,0.5441860465116279,-0.3726379440665155,0.1774012800500102,16.6,5220561.2639999995,0.07595902086983745,accepted_for_ranking,,
ARRY,2024-12-31,-0.11029411764705888,-0.3801229508196722,-0.6388059701492537,-0.37640767953866155,6.05,9370230.810000002,0.03820054024942689,accepted_for_ranking,,
CABA,2024-12-31,-0.5107758620689655,-0.6928281461434371,-0.9001759014951627,-0.7012599699025218,2.27,1491144.602,0.06331874468225741,accepted_for_ranking,,
CRMD,2024-12-31,0.0,0.9684466019417475,1.0224438902743143,0.6636301640720206,8.11,2758426.6064999998,0.03133287778617785,accepted_for_ranking,,
IOVA,2024-12-31,-0.2025862068965516,-0.043927648578811374,-0.10085054678007288,-0.11578813408514528,7.4,13802194.924,0.02925864785040662,accepted_for_ranking,,
AEHR,2025-01-31,-0.26428571428571435,-0.4008461131676362,-0.2797202797202797,-0.3149507023912101,11.33,5721245.0635,0.06692173966884478,accepted_for_ranking,,
ARRY,2025-01-31,0.13643410852713167,-0.30587121212121215,-0.45216741405082217,-0.20720150588163422,7.33,10618987.964499999,0.0462088015229865,accepted_for_ranking,,
CABA,2025-01-31,,,,,,,,rejected,insufficient_history_or_liquidity,2025-02-03
CRMD,2025-01-31,-0.20585967617579026,1.2489082969432315,2.2907348242811505,1.1112611483495305,10.3,4708063.156499999,0.0810326872894676,accepted_for_ranking,,
IOVA,2025-01-31,-0.4595588235294118,-0.3318181818181819,-0.24904214559386972,-0.34680638364715444,5.88,16381638.408500005,0.04106972195919835,accepted_for_ranking,,
AEHR,2025-02-28,-0.24015748031496054,-0.3453188602442334,-0.4249106078665078,-0.33679564947523394,9.65,2382521.131,0.0403620544841039,accepted_for_ranking,,
ARRY,2025-02-28,-0.2507122507122507,-0.20423600605143732,-0.6123802505526899,-0.3557761691054593,5.26,10699915.813000001,0.05727781877563831,accepted_for_ranking,,
CABA,2025-02-28,,,,,,,,rejected,insufficient_history_or_liquidity,2025-03-03
CRMD,2025-02-28,0.04120603015075375,0.679092382495948,1.9348441926345608,0.8850475350937542,10.36,2900087.3830000004,0.033575256634420604,accepted_for_ranking,,
IOVA,2025-02-28,-0.5425188374596339,-0.6248896734333628,-0.755184331797235,-0.6408642808967439,4.25,12442138.9595,0.05695902337355715,accepted_for_ranking,,
AEHR,2025-03-31,-0.5538555691554468,-0.4430863254392666,-0.4101941747572815,-0.4690453564506649,7.29,2032750.253,0.04764654142507928,accepted_for_ranking,,
ARRY,2025-03-31,-0.1804384485666104,-0.24767801857585137,-0.6783587028457975,-0.36882505666275306,4.86,9077388.723500002,0.04784509017668959,accepted_for_ranking,,
CABA,2025-03-31,,,,,,,,rejected,insufficient_history_or_liquidity,2025-04-01
CRMD,2025-03-31,-0.2682352941176471,-0.24422843256379112,0.4951923076923075,-0.005757139663043587,6.22,5124377.033000001,0.08621907923159094,accepted_for_ranking,,
IOVA,2025-03-31,-0.5618421052631579,-0.6419354838709678,-0.7641643059490084,-0.655980631694378,3.33,7862410.097000003,0.03635115766652952,accepted_for_ranking,,
AEHR,2025-04-30,-0.21237303785780248,-0.4982352941176471,-0.2563208369659984,-0.32230972298048266,8.53,1854030.8425,0.07090140646133046,accepted_for_ranking,,
ARRY,2025-04-30,-0.3314685314685315,-0.2702290076335877,-0.6188197767145135,-0.4068391052722109,4.78,6235382.2595,0.06220439459635392,accepted_for_ranking,,
CABA,2025-04-30,,,,,,,,rejected,insufficient_history_or_liquidity,2025-05-01
CRMD,2025-04-30,-0.1860053144375553,-0.2930769230769231,0.7306967984934087,0.08387152032631011,9.19,3675610.9060000004,0.034146899431687035,accepted_for_ranking,,
IOVA,2025-04-30,-0.4095394736842105,-0.6647992530345472,-0.6899827288428324,-0.5881071518538633,3.59,6648453.323499999,0.06078458647168475,accepted_for_ranking,,
